GlobalID,OBJECTID,address,address2,apt_room,arrive_date_time,cleared_date_time,dispatch_date_time,exposure,incident_number,incident_type,incident_type_description,platoon,station,Longitude,Latitude
491f1208-9f3c-4902-84a9-89f0e062a3bb,594766,"311 STONEY MOSS DR RALEIGH, NC 27601",                                        ,110,1438397460000,1438399140000,1438397220,0,15-0023269,743,Smoke detector activation no fire - unintentional,B,12,-78.58128577182256,35.77660400707789
12b1f572-df8a-45b1-a85e-7314c27d0b6d,594767,"510 W JOHNSON ST RALEIGH, NC 27601",                                        ,               ,1436381820000,1436382000000,1436381580,0,15-0020778,743,Smoke detector activation no fire - unintentional,A,1,-78.6464599731084,35.78731949209444
004c7a5f-a1a1-4b61-96ce-3dd2685b5a00,594768,"2901 TRAWICK RD RALEIGH, NC 27601",UNITED SKATES OF AMERICA                ,               ,1436532240000,1436532540000,1436532060,0,15-0020961,735,Alarm system sounded due to malfunction,A,11,-78.58937861157217,35.81970100604935
1dd3cc20-aa6b-4ce8-9c92-053b2f66c19c,594769,"3616 POOLE RD RALEIGH, NC 27601",BP GAS RA                               ,               ,1437240120000,1437241740000,1437239940,0,15-0021810,671,HazMat release investigation w/no HazMat,C,12,-78.57656266811219,35.767841913849146
8e50a1b4-4485-4a87-b838-26327b51b5bf,594770,"101 DURHAM CO WAY RALEIGH, NC 27601",DCDH                                    ,               ,1436391000000,1436391000000,1436390460,0,15-9018104,611,Dispatched & cancelled en route,A,24,-78.6345159991419,35.77546935808375
1b553dc5-ab9c-4933-8e83-028d0c420a1a,594772,"2001 LORIMER RD RALEIGH, NC 27601",COMBS ELEMENTARY SCH                    ,               ,1437514800000,1437516240000,1437514200,0,15-0022155,745,Alarm system activation no fire - unintentional,A,14,-78.70224447100495,35.773562177688106
48a57e00-07ba-4c5d-b57e-a37abea80fbb,594773,"6715 WOODMERE DR RALEIGH, NC 27601",                                        ,               ,1436748420000,1436749680000,1436748180,0,15-0021246,550,Public service assistance Other,A,16,-78.66951589873034,35.87243353083111
c4a34227-6ee9-4e68-ab78-51b1fd34b1d3,594774,"263 PECAN RD RALEIGH, NC 27603",RFD 2                                   ,               ,1437734700000,1437735720000,1437734700,0,15-0022438,550,Public service assistance Other,C,2,-78.64783282883126,35.74867281814796
e807ac7d-0395-4313-bb7a-f9f37f7caafc,594776,"6131 FALLS OF NEUSE RD RALEIGH, NC 27601",ONE SPRINGFIELD CTR                     ,               ,1437228660000,1437229500000,1437228480,0,15-0021790,730,System malfunction Other,C,19,-78.62038816232919,35.865328610294576
5800d524-98cd-42b4-829c-19e5368a0b66,594777,"331 S MCDOWELL ST RALEIGH, NC 27601",E01                                     ,               ,1437483480000,1437483540000,1437483240,0,15-0022109,611,Dispatched & cancelled en route,A,1,-78.64189425513416,35.776579328989804
d790f11c-a80f-4f60-ba3f-3a170675b58a,594778,"7330 OLD WAKE FOREST RD RALEIGH, NC 27601",SEARS RA                                ,               ,1436191260000,1436191500000,1436190900,0,15-0020530,744,Detector activation no fire - unintentional,B,19,-78.57736187406765,35.86961816170558
b6b7c09e-3853-4254-9f77-afc1c49f2ec6,594779,"328 W DAVIE ST RALEIGH, NC 27601",THE PIT                                 ,               ,1436060040000,1436060280000,1436059860,0,15-0020401,743,Smoke detector activation no fire - unintentional,B,1,-78.64471014566477,35.77581827284586
d61da315-40f7-4552-80e7-5135982629ba,594780,"3210 S WILMINGTON ST RALEIGH, NC 27603",COOK OUT RA                             ,               ,1437115620000,1437122820000,1437115320,0,15-0021677,130,Mobile property (vehicle) fire Other,C,2,-78.650233032049,35.737068187701425
c58e9537-b22b-472a-84a8-eec204f0d7b1,594781,"618 N BOYLAN AVE RALEIGH, NC 27601",PARAMOUNT CONDOS                        ,               ,1436505000000,1436505600000,1436504580,0,15-0020943,735,Alarm system sounded due to malfunction,C,1,-78.64877512383505,35.78766396222107
8ec0d76e-d685-4415-a881-5c993b3b998c,594783,"3200 WELLINGTON CT RALEIGH, NC 27601",DPG MANAGEMENT CO                       ,               ,1437576840000,1437577320000,1437576480,0,15-0022241,730,System malfunction Other,B,22,-78.5798076802608,35.88701850299525
0207da9f-a18d-433d-bf2c-c9c5a98566b1,594784,"2200 SUMMIT PARK LN RALEIGH, NC 27601",RESIDENCE INN RA                        ,               ,1435804920000,1435805100000,1435804680,0,15-0020073,442,Overheated motor,A,16,-78.67448697518834,35.83466701931189
d7909f3b-2b62-4165-b747-c1e8fe5650a7,594785,"6204 SHANDA DR RALEIGH, NC 27601",                                        ,               ,1435758780000,1435758900000,1435758540,0,15-0019995,611,Dispatched & cancelled en route,A,15,-78.63094300399823,35.86416391376952
fd6cc4a7-2707-40c7-98aa-f65c2504c8cc,594786,"1915 HAWKINS ST RALEIGH, NC 27601",                                        ,               ,1437981780000,1437982020000,1437981540,0,15-0022749,611,Dispatched & cancelled en route,A,7,-78.61195520424333,35.77897428421085
d3052f9f-2f27-40fa-98c3-0ac5c5596f3b,594787,"2018 SMALLWOOD DR RALEIGH, NC 27605",                                        ,D              ,1436919600000,1436921880000,1436919420,0,15-0021457,743,Smoke detector activation no fire - unintentional,C,5,-78.66082538377104,35.7921022768633
